content,score,at,clean,processed,sentiment
"aplikasi ini UI nya aja bagus, backend API problem banget, b90 banget tu developer, redeem aja problematic dengan lokasi, halaman, dan perangkat user, sama itu cs wa gak guna gak bisa dijadikan solusi",1,2026-03-07 05:05:25,aplikasi ini ui nya aja bagus backend api problem banget b banget tu developer redeem aja problematic dengan lokasi halaman dan perangkat user sama itu cs wa gak guna gak bisa dijadikan solusi,aplikasi ui bagus backend api problem tu developer redeem problematic lokasi halaman perangkat user cs wa jadi solusi,negative
"gara² beli voucher di APLIKASI Qpon ini saya banyak mengalami kerugian buang duit banyak, karna gak bisa refund voucher yg gak kepakai sampai jadi kadaluarsa, adminnya kalo di chat juga lama balasnya juga ribet",1,2026-03-07 02:28:17,gara beli voucher di aplikasi qpon ini saya banyak mengalami kerugian buang duit banyak karna gak bisa refund voucher yg gak kepakai sampai jadi kadaluarsa adminnya kalo di chat juga lama balasnya juga ribet,gara beli voucher aplikasi qpon alami rugi buang duit karna refund voucher pakai kadaluarsa adminnya chat balas ribet,negative
"aplikasi tidak bagus.. harga lebih mahal daripada beli di outlet.. contohnya hisana, pak d.. trus proses refund ribet tidak seperti tiktok yang auto refund kalau lupa reedem.. jadi uangku nyantol 100rb lebih gabisa balik gegara udah 1minggu lebih lupa tidak refund.. ah gak mutu!!jelek bangett.neyesel gw download!!",1,2026-03-06 18:40:52,aplikasi tidak bagus harga lebih mahal daripada beli di outlet contohnya hisana pak d trus proses refund ribet tidak seperti tiktok yang auto refund kalau lupa reedem jadi uangku nyantol rb lebih gabisa balik gegara udah minggu lebih lupa tidak refund ah gak mutu jelek bangett neyesel gw download,aplikasi bagus harga mahal beli outlet contoh hisana trus proses refund ribet tiktok auto refund lupa reedem uang nyantol rb gabisa gegara minggu lupa refund ah mutu jelek bangett neyesel gw download,negative
"sistem nya jelek, mau refund ga bisa. uang ilang makanan ga dapet",1,2026-03-06 09:54:02,sistem nya jelek mau refund ga bisa uang ilang makanan ga dapet,sistem jelek refund uang ilang makan dapet,negative
ga bisa daftar apk ga jelas keterangan akun tidak terdeteksi udah pake nomor lain juga ga bisa,1,2026-03-06 09:06:16,ga bisa daftar apk ga jelas keterangan akun tidak terdeteksi udah pake nomor lain juga ga bisa,daftar apk terang akun deteksi pake nomor,negative
gabisa refund kadaluarsa,1,2026-03-06 05:01:30,gabisa refund kadaluarsa,gabisa refund kadaluarsa,negative
CS yang sangat tidak bisa memberikan solusi,1,2026-03-05 13:11:26,cs yang sangat tidak bisa memberikan solusi,cs solusi,negative
luwarbiasa,5,2026-03-05 12:19:41,luwarbiasa,luwarbiasa,positive
thank you,5,2026-03-05 08:05:12,thank you,thank you,positive
gak bagus,2,2026-03-05 03:49:25,gak bagus,bagus,negative
bagus,5,2026-03-05 03:43:00,bagus,bagus,positive
jual menu yang nggak ada di outlet beda harga nya cuma 500rp udah muter muter 4 outlet kaga ada semua jadi rugi keluar bensin,1,2026-03-04 13:44:08,jual menu yang nggak ada di outlet beda harga nya cuma rp udah muter muter outlet kaga ada semua jadi rugi keluar bensin,jual menu nggak outlet beda harga rp muter muter outlet kaga rugi bensin,negative
ga bisa dipindahin ke hp lain padahal udah di uninstall tapi tetep ga bisa masuk ga bisa dipake kacau,1,2026-03-04 10:07:47,ga bisa dipindahin ke hp lain padahal udah di uninstall tapi tetep ga bisa masuk ga bisa dipake kacau,dipindahin hp uninstall tetep masuk dipake kacau,negative
"Baru di pakai sekali,sampai sekarang kalau masuk aplikasi layar putih semua tidak bisa apa apa,padahal sebelum nya lancar lancar aja sebelum ada transaksi.",1,2026-03-04 05:52:58,baru di pakai sekali sampai sekarang kalau masuk aplikasi layar putih semua tidak bisa apa apa padahal sebelum nya lancar lancar aja sebelum ada transaksi,pakai masuk aplikasi layar putih lancar lancar transaksi,negative
goreng patut!!!! gak bisa login buat akun baru tulisan akun ini terdeteksi parah sihh aplikasi gak workit.,1,2026-03-03 13:11:24,goreng patut gak bisa login buat akun baru tulisan akun ini terdeteksi parah sihh aplikasi gak workit,goreng patut login akun tulis akun deteksi parah sihh aplikasi workit,negative
"mantap promonya, cepat juga proses nya",5,2026-03-03 10:24:08,mantap promonya cepat juga proses nya,mantap promonya cepat proses,positive
diskon ya gede,5,2026-03-03 01:42:30,diskon ya gede,diskon ya gede,positive
setiap mau pesen tulisannya terlalu banyak peminat,1,2026-03-02 14:38:22,setiap mau pesen tulisannya terlalu banyak peminat,sen tulis minat,negative
"promonya besar-besaran, customers servicenya bener-bener membantu dan melayani dengan baik ketika ada kendala. sukses terus yaa qpon.",5,2026-03-02 11:18:14,promonya besar besaran customers servicenya bener bener membantu dan melayani dengan baik ketika ada kendala sukses terus yaa qpon,promonya besar customers servicenya bener bener bantu layan kendala sukses yaa qpon,positive
apk fomo doang bisa sekarang susah banyak promo tapi gak bisa di pake buang buang duit doang.,1,2026-03-02 05:53:45,apk fomo doang bisa sekarang susah banyak promo tapi gak bisa di pake buang buang duit doang,apk fomo doang susah promo pake buang buang duit doang,negative
Harga terjangkau Dengan rasa dan kualitas sungguh memukau.. i like momoyo. Coba dulu baru komen.. dah Di jamin manyosss Dan ketagihan,5,2026-03-02 05:02:22,harga terjangkau dengan rasa dan kualitas sungguh memukau i like momoyo coba dulu baru komen dah di jamin manyosss dan ketagihan,harga jangkau kualitas sungguh pukau like momoyo coba komen jamin manyosss tagih,positive
kok pas mau pesen sering logout sendiri yg akun Baru,1,2026-03-01 08:54:47,kok pas mau pesen sering logout sendiri yg akun baru,pas sen logout akun,negative
"Qpon ngebantu banget buat jajan, 1 waktu aku punya voucher yg lupa beli di pakai, dan ternyata sudah lewat masa expired nya, panik dong, chat cs qpon, Alhamdulillah bisa di bantu refund, makasih qpon 💚🙏",5,2026-03-01 05:33:12,qpon ngebantu banget buat jajan waktu aku punya voucher yg lupa beli di pakai dan ternyata sudah lewat masa expired nya panik dong chat cs qpon alhamdulillah bisa di bantu refund makasih qpon,qpon ngebantu jajan voucher lupa beli pakai expired panik chat cs qpon alhamdulillah bantu refund makasih qpon,positive
"GOKIL LAH, QPON, DANA REFUND SELALU DI BANTU. UDH 3X REFUND DANA SELALU LANCAR. SUKSES TERUS QPON. YANG MEMBANTU DISKON SETIAP MERCHANT F&B 🥰🥰🥰✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻 NO CLICK BAIT!!! INI REVIEW JUJUR OGUT !!!",5,2026-03-01 04:35:17,gokil lah qpon dana refund selalu di bantu udh x refund dana selalu lancar sukses terus qpon yang membantu diskon setiap merchant f b no click bait ini review jujur ogut,gokil qpon dana refund bantu refund dana lancar sukses qpon bantu diskon merchant no click bait review jujur ogut,positive
duit gua kgk blik anjir salah beli juga minta tanggung jawab malah gk jelas balesan nya,2,2026-03-01 02:52:28,duit gua kgk blik anjir salah beli juga minta tanggung jawab malah gk jelas balesan nya,duit gua kgk blik anjir salah beli tanggung balesan,negative
"stelah log out gak bisa log in lagi, Ket aktivitas mencurigakan, gak ada solusi",1,2026-02-28 18:29:28,stelah log out gak bisa log in lagi ket aktivitas mencurigakan gak ada solusi,stelah log out log in ket aktivitas curiga solusi,negative
Puas dgn pelayanannya terimakasih,5,2026-02-28 10:39:12,puas dgn pelayanannya terimakasih,puas dgn layan terimakasih,positive
semenjak ganti HP kok aku ga bisa log in ke apk ini y... udh masukin no tlp tetap aja gagal,1,2026-02-28 06:09:03,semenjak ganti hp kok aku ga bisa log in ke apk ini y udh masukin no tlp tetap aja gagal,semenjak ganti hp log in apk masukin no tlp gagal,negative
sangat bikin hemat,5,2026-02-27 16:00:58,sangat bikin hemat,bikin hemat,positive
saeee,4,2026-02-27 15:33:24,saeee,saeee,positive
"tolong buat menu riwayat transaksinya dicantumkan nama outlet juga di bagian depannya , sehingga ga perlu dibuka dulu satu2 dan klik detail pesanan.",2,2026-02-27 14:35:56,tolong buat menu riwayat transaksinya dicantumkan nama outlet juga di bagian depannya sehingga ga perlu dibuka dulu satu dan klik detail pesanan,tolong menu riwayat transaksi cantum nama outlet depan buka klik detail pesan,negative
the best,5,2026-02-27 13:23:10,the best,the best,positive
oke top,5,2026-02-27 10:57:35,oke top,oke top,positive
"pengalaman buruk yg saya dapat beli voucher KFC yg seharusnya dapat 5 potong sayap dan 5 potong paha, kenyataan nya hanya dapat 3 potong sayap dan 2 potong paha. di aplikasi voucher sdh tertulis 5 sayap dan 5 paha. ini namanya pembohongan publik sangat kecewa beli voucher di QPON.",1,2026-02-27 10:17:35,pengalaman buruk yg saya dapat beli voucher kfc yg seharusnya dapat potong sayap dan potong paha kenyataan nya hanya dapat potong sayap dan potong paha di aplikasi voucher sdh tertulis sayap dan paha ini namanya pembohongan publik sangat kecewa beli voucher di qpon,alam buruk beli voucher kfc potong sayap potong paha nyata potong sayap potong paha aplikasi voucher sdh tulis sayap paha nama bohong publik kecewa beli voucher qpon,negative
maksa instal coy,1,2026-02-27 05:09:08,maksa instal coy,maksa instal coy,negative
kupon kadaluarsa gabisa d refund,1,2026-02-27 04:08:39,kupon kadaluarsa gabisa d refund,kupon kadaluarsa gabisa refund,negative
proses refund yang berbelit belit dan ribet sudah hampir 1 bulan uang saya belum kembali padahal sudah jelas outlet sudah tidak merima voucher dari Qpon!!!!!!¡!!%#%#%@%$,1,2026-02-27 03:30:14,proses refund yang berbelit belit dan ribet sudah hampir bulan uang saya belum kembali padahal sudah jelas outlet sudah tidak merima voucher dari qpon,proses refund belit belit ribet uang outlet rima voucher qpon,negative
Semoga tidak mengecewakan,5,2026-02-27 03:28:24,semoga tidak mengecewakan,moga kecewa,positive
saft respont,5,2026-02-26 05:53:26,saft respont,saft respont,positive
okey,5,2026-02-26 01:50:49,okey,okey,positive
bagus lumayan,5,2026-02-25 20:55:13,bagus lumayan,bagus lumayan,positive
"aku nggak suka karena baru langkah pertama bikin akun aja udah di persulit, padahal ke 2 nomer ku aktif tapi tetep aja di bilang, akun saat ini tidak normal, apalah males banget",1,2026-02-25 13:19:57,aku nggak suka karena baru langkah pertama bikin akun aja udah di persulit padahal ke nomer ku aktif tapi tetep aja di bilang akun saat ini tidak normal apalah males banget,nggak suka langkah bikin akun sulit nomer ku aktif tetep bilang akun normal apa males,negative
aplikasinya sangat membantu untuk hemat,5,2026-02-25 12:12:43,aplikasinya sangat membantu untuk hemat,aplikasi bantu hemat,positive
"apk gak jelas, mau login malah gak bisa², dengan keterangan "" akun saat ini terdeteksi tidak normal""",1,2026-02-25 10:40:55,apk gak jelas mau login malah gak bisa dengan keterangan akun saat ini terdeteksi tidak normal,apk login terang akun deteksi normal,negative
belanja praktis bnyk diskon nya,5,2026-02-25 08:46:52,belanja praktis bnyk diskon nya,belanja praktis bnyk diskon,positive
gak bisa daftar,1,2026-02-25 08:40:58,gak bisa daftar,daftar,negative
Kereennnnnnnnnnn,5,2026-02-25 08:02:55,kereennnnnnnnnnn,kereennnnnnnnnnn,positive
"gabisa bisa masuk akun, CS ngga membantu sama sekali.",1,2026-02-24 20:39:04,gabisa bisa masuk akun cs ngga membantu sama sekali,gabisa masuk akun cs ngga bantu,negative
ga bisa login,1,2026-02-24 13:57:09,ga bisa login,login,negative
Aplikasi keren buat yang hobi berburu diskon makanan,5,2026-02-24 08:32:08,aplikasi keren buat yang hobi berburu diskon makanan,aplikasi keren hobi buru diskon makan,positive
suka bgt cs respon cepat klo ada maslaha,5,2026-02-24 05:32:44,suka bgt cs respon cepat klo ada maslaha,suka cs respon cepat maslaha,positive
kusut,1,2026-02-24 04:50:22,kusut,kusut,negative
"Masih aja lebih mahal blm saat menukarkan masih ada tambahan biaya lagi, pengalaman yang buruk, promonya harus ada minimal belanja",2,2026-02-24 01:59:37,masih aja lebih mahal blm saat menukarkan masih ada tambahan biaya lagi pengalaman yang buruk promonya harus ada minimal belanja,mahal blm tukar tambah biaya alam buruk promonya minimal belanja,negative
"mantap banget! promonya oke, CS nya juga gercep. responsif banget! makasih yaa",5,2026-02-23 12:54:31,mantap banget promonya oke cs nya juga gercep responsif banget makasih yaa,mantap promonya oke cs gercep responsif makasih yaa,positive
"sudah tranfer tapi barcode tidak muncul,komplen ke CS ,yang bales robot whatsap rugi kita",1,2026-02-23 11:38:19,sudah tranfer tapi barcode tidak muncul komplen ke cs yang bales robot whatsap rugi kita,tranfer barcode muncul komplen cs bales robot whatsap rugi,negative
pelayanan bagus,5,2026-02-23 10:22:34,pelayanan bagus,layan bagus,positive
seperti nya saya harus berhenti menggunakan aplikasi Ini selain dibikin ribet proses refund nya juga ada beberapa produk yang gak bisa di refund dan outlet outlet nya tidak menyediakan produk yang di cantumkan di aplikasi qpon gak jelas ini alhasil hangus semua yang sudah saya beli memang aplikasi gak ada otak,1,2026-02-23 07:17:25,seperti nya saya harus berhenti menggunakan aplikasi ini selain dibikin ribet proses refund nya juga ada beberapa produk yang gak bisa di refund dan outlet outlet nya tidak menyediakan produk yang di cantumkan di aplikasi qpon gak jelas ini alhasil hangus semua yang sudah saya beli memang aplikasi gak ada otak,henti aplikasi bikin ribet proses refund produk refund outlet outlet sedia produk cantum aplikasi qpon alhasil hangus beli aplikasi otak,negative
tidak bisa login di aplikasi,1,2026-02-23 06:09:16,tidak bisa login di aplikasi,login aplikasi,negative
"apk kaga jelas tiba"" akun ini tidak normal",1,2026-02-23 05:01:15,apk kaga jelas tiba akun ini tidak normal,apk kaga akun normal,negative
QPON ini adalah aplikasi diskon yang sangat terbaik bisa dapat diskon makanan dan minuman dengan harga yang sangat murah. mantap sukses terus buat aplikasi QPON ini ya.,5,2026-02-23 03:00:38,qpon ini adalah aplikasi diskon yang sangat terbaik bisa dapat diskon makanan dan minuman dengan harga yang sangat murah mantap sukses terus buat aplikasi qpon ini ya,qpon aplikasi diskon baik diskon makan minum harga murah mantap sukses aplikasi qpon ya,positive
trimakasih sangat bermanfaat,5,2026-02-22 18:37:39,trimakasih sangat bermanfaat,trimakasih manfaat,positive
👍,5,2026-02-22 15:42:30,,,positive
"apk qpon nya tidak bisa login min, tapi kalau lewat website bisa mohon dibantu min",5,2026-02-22 09:11:04,apk qpon nya tidak bisa login min tapi kalau lewat website bisa mohon dibantu min,apk qpon login min website mohon bantu min,positive
kalo promo ga ngotak nyusahin pedagang,1,2026-02-22 07:58:33,kalo promo ga ngotak nyusahin pedagang,promo ngotak nyusahin dagang,negative
ok,5,2026-02-22 05:30:20,ok,ok,positive
mantap diskon nya,4,2026-02-22 04:25:42,mantap diskon nya,mantap diskon,positive
"Tiba-tiba saya tidak bisa login Qpon karena ada tulisan akun anda terdeteksi tidak normal, saya coba bolak-balik selama 1 bulan ini dan voucher saya di Qpon jadi hangus semua. Bolak-balik chat customer service gak dikasih kejelasan, cuma disuruh nunggu saja. Sangat merugikan customer dan pelayanan mengecewakan.",1,2026-02-21 12:05:13,tiba tiba saya tidak bisa login qpon karena ada tulisan akun anda terdeteksi tidak normal saya coba bolak balik selama bulan ini dan voucher saya di qpon jadi hangus semua bolak balik chat customer service gak dikasih kejelasan cuma disuruh nunggu saja sangat merugikan customer dan pelayanan mengecewakan,login qpon tulis akun deteksi normal coba bolak voucher qpon hangus bolak chat customer service kasih jelas suruh nunggu rugi customer layan kecewa,negative
Nice,5,2026-02-21 11:33:40,nice,nice,positive
"CS gak bisa ngebantu buat login karena masalah akun tidak normal. Giliran minta tolong dihapus akun cuma ngasih jawaban template hapus akun buat yang lagi login. Ngasih jawaban juga ga ngebantu sama sekali, template terus jawabannya. Masalah akun dari tanggal 3 Feb 2026 sampe sekarang 21 Feb 2026 gak kelar kelar. Semoga bisa ditingkatin lagi deh aplikasinya.",1,2026-02-21 04:07:01,cs gak bisa ngebantu buat login karena masalah akun tidak normal giliran minta tolong dihapus akun cuma ngasih jawaban template hapus akun buat yang lagi login ngasih jawaban juga ga ngebantu sama sekali template terus jawabannya masalah akun dari tanggal feb sampe sekarang feb gak kelar kelar semoga bisa ditingkatin lagi deh aplikasinya,cs ngebantu login akun normal gilir tolong hapus akun ngasih template hapus akun login ngasih ngebantu template jawab akun tanggal feb sampe feb kelar kelar moga ditingkatin deh aplikasi,negative
"Bagus, banyak vocernya. Apalagi karoke jadi murah.",5,2026-02-21 02:27:55,bagus banyak vocernya apalagi karoke jadi murah,bagus vocernya karoke murah,positive
"selalu tulisan yg sama ""terlalu banyak peminat, silahkan coba lagi""",1,2026-02-20 13:58:37,selalu tulisan yg sama terlalu banyak peminat silahkan coba lagi,tulis minat silah coba,negative
"tolong diupdate dong. misal ketika kita klik toko paling bawah trus klik kembali, kenapa harus scroll lagi supaya sampai bawah. seharusnya ke toko yang paling bawah dong.",2,2026-02-20 08:59:50,tolong diupdate dong misal ketika kita klik toko paling bawah trus klik kembali kenapa harus scroll lagi supaya sampai bawah seharusnya ke toko yang paling bawah dong,tolong diupdate klik toko trus klik scroll toko,negative
"saya ga bisa masuk , udh laporan ga direspon dengan solusi yg baik . Padahal dalam akunnya masih ada beberapa yang belum saya claim misalnya di Tomorrow Coffee. Tolong berikan data yang jelas",1,2026-02-20 08:25:27,saya ga bisa masuk udh laporan ga direspon dengan solusi yg baik padahal dalam akunnya masih ada beberapa yang belum saya claim misalnya di tomorrow coffee tolong berikan data yang jelas,masuk lapor direspon solusi akun claim tomorrow coffee tolong data,negative
mantul,5,2026-02-19 14:27:43,mantul,mantul,positive
"udh login, tapi giliran mau beli malah logout. disuruh masuk ulang berkali-kali.",1,2026-02-19 13:25:18,udh login tapi giliran mau beli malah logout disuruh masuk ulang berkali kali,login gilir beli logout suruh masuk ulang kali kali,negative
kecewa karna tidak bisa refund mending beli di voucher tiktok aja deh kapanpun bisa refund gak pake waktu namanya orang ada sibuk dan lupa nya pake dikasih waktu gak worth it sama sekali,1,2026-02-19 04:52:31,kecewa karna tidak bisa refund mending beli di voucher tiktok aja deh kapanpun bisa refund gak pake waktu namanya orang ada sibuk dan lupa nya pake dikasih waktu gak worth it sama sekali,kecewa karna refund mending beli voucher tiktok deh refund pake nama orang sibuk lupa pake kasih worth it,negative
"stres ga bisa log in, ganti HP baru pake no lama akses gagal, pake no HP baru juga sama. ga jelas bgt aplikasi.",1,2026-02-18 14:17:10,stres ga bisa log in ganti hp baru pake no lama akses gagal pake no hp baru juga sama ga jelas bgt aplikasi,stres log in ganti hp pake no akses gagal pake no hp aplikasi,negative
"knp toko yg udah lama tutup masih ada di dlm promo,kan ini terkesan menipu konsumen,mana uang nya gak bisa dikembalikan lg, tolong penjelasannya wahai pihak aplikasi, biar kata cuma 12 rb tp ini ttp merugikan konsumen !!!",2,2026-02-18 09:37:21,knp toko yg udah lama tutup masih ada di dlm promo kan ini terkesan menipu konsumen mana uang nya gak bisa dikembalikan lg tolong penjelasannya wahai pihak aplikasi biar kata cuma rb tp ini ttp merugikan konsumen,knp toko tutup dlm promo kes tipu konsumen uang kembali lg tolong jelas aplikasi biar rb ttp rugi konsumen,negative
"Beli qpon, di keterangan bisa di tuker di outlet tertentu, pas kelokasi gak bisa di tuker, payah banget, nyusahin mana gak bisa refund lagi udah di bayar",1,2026-02-18 08:38:39,beli qpon di keterangan bisa di tuker di outlet tertentu pas kelokasi gak bisa di tuker payah banget nyusahin mana gak bisa refund lagi udah di bayar,beli qpon terang tuker outlet pas lokasi tuker payah nyusahin refund bayar,negative
baguss baengat,4,2026-02-18 06:58:49,baguss baengat,baguss baengat,positive
karena pas flash sale yang di liat hanya brand aja alhasil gak bisa kepake dan jeleknya GAK ADA OPTION REFUND . saya di bandung salah beli voucher malah yang jakarta .. tolong dong qpon kasih kebijakan ... ada.in option refund mana beli vouchernya banyak pulaa.. sedddih bgt,3,2026-02-18 06:52:16,karena pas flash sale yang di liat hanya brand aja alhasil gak bisa kepake dan jeleknya gak ada option refund saya di bandung salah beli voucher malah yang jakarta tolong dong qpon kasih kebijakan ada in option refund mana beli vouchernya banyak pulaa sedddih bgt,pas flash sale liat brand alhasil kepake jelek option refund bandung salah beli voucher jakarta tolong qpon kasih bijak in option refund beli vouchernya pulaa sedddih,neutral
"Lama banget menanggapi keluhan resto. Udah dichatting semua pihak Merchant nya, tapi banyak yang slowrespond. Padahal lebih awal juga dihubungi via WhatsApp baik Customer Service nya maupun pihak Marketing yang katanya ""Kalau ada keluhan, bisa hubungi"". Sumpah! Enggak ada yang menanggapi satupun, padahal keluhan resto, bukan POV sebagai pelanggan. Mohon diperbaiki pelayanan kecepatan menanggapi pesanan/keluhan!",1,2026-02-18 05:52:59,lama banget menanggapi keluhan resto udah dichatting semua pihak merchant nya tapi banyak yang slowrespond padahal lebih awal juga dihubungi via whatsapp baik customer service nya maupun pihak marketing yang katanya kalau ada keluhan bisa hubungi sumpah enggak ada yang menanggapi satupun padahal keluhan resto bukan pov sebagai pelanggan mohon diperbaiki pelayanan kecepatan menanggapi pesanan keluhan,tanggap keluh resto dichatting merchant slowrespond hubung via whatsapp customer service marketing keluh hubung sumpah tanggap satu keluh resto pov langgan mohon baik layan cepat tanggap pesan keluh,negative
di pusat bonus hadiahnya itu itu terus gk pernah ganti👎🏿,1,2026-02-17 08:16:37,di pusat bonus hadiahnya itu itu terus gk pernah ganti,pusat bonus hadiah ganti,negative
"Aplikasi Gaje, cuma pas pembelian awal doang yang bisa. Habis itu selalu Lagi banyak Peminat. Gak pernah bisa beli.",1,2026-02-17 07:18:20,aplikasi gaje cuma pas pembelian awal doang yang bisa habis itu selalu lagi banyak peminat gak pernah bisa beli,aplikasi gaje pas beli doang habis minat beli,negative
"tiba tiba akun tidak bisa login, akun saat ini terdeteksi tidak normal, tidak dapat di pakai sementara",1,2026-02-16 23:16:17,tiba tiba akun tidak bisa login akun saat ini terdeteksi tidak normal tidak dapat di pakai sementara,akun login akun deteksi normal pakai,negative
McDonald tidak bisa di refund otomatis saldo kita hangus karna tidak bisa di pakai di toko,1,2026-02-16 22:58:17,mcdonald tidak bisa di refund otomatis saldo kita hangus karna tidak bisa di pakai di toko,mcdonald refund otomatis saldo hangus karna pakai toko,negative
akun gue engga tau tiba tiba engga bisa login coba tolong di perbaiki,1,2026-02-16 22:44:51,akun gue engga tau tiba tiba engga bisa login coba tolong di perbaiki,akun gue engga tau engga login coba tolong baik,negative
"cs sangat cepat, solutif",5,2026-02-16 16:36:05,cs sangat cepat solutif,cs cepat solutif,positive
"aplikasi diskon terus ,real pokoknya recommended",5,2026-02-16 16:21:18,aplikasi diskon terus real pokoknya recommended,aplikasi diskon real pokok recommended,positive
🤍🤍dia berguna bgttt OMGG😽😽😽😽,5,2026-02-16 13:06:51,dia berguna bgttt omgg,guna bgttt omgg,positive
dah mau seminggu ini GK bisa tuh gua klaim voucher . lumayan padahal gratis ice cream sunday tapi malah masalah . ntah ngebug aplikasinya atau apa lah pokoknya males banget gua ah 🙂‍↕️🙂‍↕️👎👎👎,1,2026-02-16 12:10:48,dah mau seminggu ini gk bisa tuh gua klaim voucher lumayan padahal gratis ice cream sunday tapi malah masalah ntah ngebug aplikasinya atau apa lah pokoknya males banget gua ah,minggu gua klaim voucher lumayan gratis ice cream sunday ntah ngebug aplikasi pokok males gua ah,negative
tidak bisa login,1,2026-02-16 12:02:45,tidak bisa login,login,negative
"aplikasi aneh, baru mau daftar terdeteksi akun tidak normal.. aneh aneh aplikasi aneh.",1,2026-02-16 10:39:47,aplikasi aneh baru mau daftar terdeteksi akun tidak normal aneh aneh aplikasi aneh,aplikasi aneh daftar deteksi akun normal aneh aneh aplikasi aneh,negative
aplikasi ini berguna banget untuk saya,5,2026-02-16 04:49:43,aplikasi ini berguna banget untuk saya,aplikasi guna,positive
aplikasi tolol lagi abis makananya di outlet sini disuruh ke outlet lain yang jauh banget,1,2026-02-16 04:10:39,aplikasi tolol lagi abis makananya di outlet sini disuruh ke outlet lain yang jauh banget,aplikasi tolol abis makananya outlet suruh outlet,negative
"mantap, murmer",5,2026-02-16 04:07:08,mantap murmer,mantap murmer,positive
respon nya sangat baikk,5,2026-02-15 07:47:52,respon nya sangat baikk,respon baikk,positive
semenjak voucher 2X gagal ditukar dan sudah tidak bisa di refund akhirnya saya uninstall qpon,1,2026-02-15 05:31:53,semenjak voucher x gagal ditukar dan sudah tidak bisa di refund akhirnya saya uninstall qpon,semenjak voucher gagal tukar refund uninstall qpon,negative
bagus sekali,5,2026-02-14 22:50:35,bagus sekali,bagus,positive
"aplikasi ga jelas, sumapah pertama kali pake langsung trauma, hilang danaku",1,2026-02-14 16:30:59,aplikasi ga jelas sumapah pertama kali pake langsung trauma hilang danaku,aplikasi sumapah kali pake langsung trauma hilang dana,negative
